graph,order,size,steps,iterations,damping,damping_start,tolerance
"min-4SCC","21","35","0","35","0.85","0.85","0.00001"
"min-4SCC","21","35","1","54","0.84,0.85","0.84","0.00001"
"min-4SCC","21","35","1","55","0.83,0.85","0.83","0.00001"
"min-4SCC","21","35","1","55","0.82,0.85","0.82","0.00001"
"min-4SCC","21","35","1","54","0.81,0.85","0.81","0.00001"
"min-4SCC","21","35","1","54","0.8,0.85","0.8","0.00001"
"min-4SCC","21","35","1","51","0.7,0.85","0.7","0.00001"
"min-4SCC","21","35","1","47","0.6,0.85","0.6","0.00001"
"min-4SCC","21","35","1","45","0.5,0.85","0.5","0.00001"
"min-4SCC","21","35","1","43","0.4,0.85","0.4","0.00001"
"min-4SCC","21","35","1","42","0.3,0.85","0.3","0.00001"
"min-4SCC","21","35","1","40","0.2,0.85","0.2","0.00001"
"min-4SCC","21","35","1","39","0.1,0.85","0.1","0.00001"
"min-4SCC","21","35","2","74","0.8,0.83,0.85","0.8","0.00001"
"min-4SCC","21","35","2","69","0.7,0.78,0.85","0.7","0.00001"
"min-4SCC","21","35","2","64","0.6,0.73,0.85","0.6","0.00001"
"min-4SCC","21","35","2","60","0.5,0.68,0.85","0.5","0.00001"
"min-4SCC","21","35","2","56","0.4,0.63,0.85","0.4","0.00001"
"min-4SCC","21","35","2","54","0.3,0.58,0.85","0.3","0.00001"
"min-4SCC","21","35","2","51","0.2,0.53,0.85","0.2","0.00001"
"min-4SCC","21","35","2","49","0.1,0.48,0.85","0.1","0.00001"
"min-4SCC","21","35","3","91","0.8,0.82,0.83,0.85","0.8","0.00001"
"min-4SCC","21","35","3","86","0.7,0.75,0.8,0.85","0.7","0.00001"
"min-4SCC","21","35","3","80","0.6,0.68,0.77,0.85","0.6","0.00001"
"min-4SCC","21","35","3","75","0.5,0.62,0.73,0.85","0.5","0.00001"
"min-4SCC","21","35","3","70","0.4,0.55,0.7,0.85","0.4","0.00001"
"min-4SCC","21","35","3","66","0.3,0.48,0.67,0.85","0.3","0.00001"
"min-4SCC","21","35","3","62","0.2,0.42,0.63,0.85","0.2","0.00001"
"min-4SCC","21","35","3","60","0.1,0.35,0.6,0.85","0.1","0.00001"
"min-4SCC","21","35","4","108","0.8,0.81,0.83,0.84,0.85","0.8","0.00001"
"min-4SCC","21","35","4","104","0.7,0.74,0.78,0.81,0.85","0.7","0.00001"
"min-4SCC","21","35","4","95","0.6,0.66,0.73,0.79,0.85","0.6","0.00001"
"min-4SCC","21","35","4","89","0.5,0.59,0.68,0.76,0.85","0.5","0.00001"
"min-4SCC","21","35","4","84","0.4,0.51,0.63,0.74,0.85","0.4","0.00001"
"min-4SCC","21","35","4","79","0.3,0.44,0.58,0.71,0.85","0.3","0.00001"
"min-4SCC","21","35","4","74","0.2,0.36,0.53,0.69,0.85","0.2","0.00001"
"min-4SCC","21","35","4","71","0.1,0.29,0.48,0.66,0.85","0.1","0.00001"
